X,Y,X,Y,X,Y,X,Y
959.807,2077,958.619,621,958.619,10126,960.485,5572
961.811,1910,960.625,646,960.625,10322,962.488,5676
963.814,1764,962.629,544,962.629,10318,964.491,5706
965.817,1843,964.634,628,964.634,9782,966.493,5462
967.82,1892,966.637,557,966.637,10374,968.494,5691
969.822,1880,968.641,513,968.641,10464,970.495,6008
971.823,1726,970.643,527,970.643,9868,972.496,5303
973.824,1795,972.645,494,972.645,10000,974.496,5997
975.824,1852,974.647,665,974.647,10232,976.495,5738
977.824,1793,976.648,634,976.648,10386,978.494,5646
979.823,2094,978.648,602,978.648,10120,980.492,5454
981.822,1994,980.648,695,980.648,10426,982.489,5827
983.82,2072,982.647,615,982.647,11094,984.486,5774
985.817,1890,984.646,636,984.646,10245,986.483,5311
987.814,2003,986.644,560,986.644,10642,988.479,5642
989.811,2196,988.642,611,988.642,10722,990.474,5772
991.806,2016,990.639,588,990.639,10776,992.469,5619
993.802,2155,992.635,638,992.635,11056,994.463,5868
995.796,2050,994.631,570,994.631,11078,996.457,5925
997.791,2006,996.626,568,996.626,11379,998.45,5790
